hida_5705;count;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicNotation/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicStaff/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicColour/;exists
Quadratnotation;1;Quadratnotation;;;Notation vorhanden
vorhanden;3892;;;;Notation vorhanden
1r Hufnagelnotation auf fünf Linien, c- und f-Schlüssel, unterste Zeile nur eine Linie, Mischform aus deutscher und Metzer Notation;1;deutsche Neumen auf Linien;;;Notation vorhanden
274v Neumen.;1;Neumennotation;;;Notation vorhanden
280v Schriftprobe: Vier Notenlinien ohne Noten.;1;;Vierliniensystem;;
3-Liniensystem;1;;Dreiliniensystem;;Notation vorhanden
4-Liniensystem;90;;Vierliniensystem;;Notation vorhanden
5-Liniensystem;72;;Fünfliniensystem;;Notation vorhanden
5-Liniensystem mit C-Schlüssel;3;;Fünfliniensystem;;Notation vorhanden
5v–36r 4–9 Notensysteme. Mischform aus Metzer und Hufnagelnotation auf fünf Linien mit f- und c'-Schlüssel. Bei ganzseitigen Notationen 45 Zeilenlinien, oberste und jede fünfte auf dem Seitensteg über den Schriftraum hinausgehend. Bei eingeschalteten Notationen ist der fortlaufende Text frei von Notationslinien.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
6v–11r mit Hufnagelnotation.;1;deutsche Neumen auf Linien;;;Notation vorhanden
6v–46v und 215r–236v Metzer Neumen (Epoche III, Stäblein 199). Zuweilen zeilenlose Neumen über Initienangaben.;1;lothringische Neumen auf Linien;;;Notation vorhanden
9 vierlinige Notensysteme mit Hufnagelnotation.;1;deutsche Neumen auf Linien;;;Notation vorhanden
acht Systeme zu je vier Linien mit deutscher Hufnagelnotation (Stäblein 197) auf fünf Linien, f-Linie rot, f- und c-Schlüssel.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Akzentneumen;2;Linienlose Neumennotation;;;Notation vorhanden
Alle Gesangsteile sind über der Zeile jeweils mit gotischer Choralnotation auf einem Fünfliniensystem mit c- und f-Schlüssel ausgestattet.;1;deutsche Neumen auf Linien;;;Notation vorhanden
Alle Meßgesänge sind mit Melodien notiert, jeweils 5 schwarze Linien, gotische Neumen.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Auf Bl. 19v–20r nachträgliche vollständige interlineare Notation der Perikope Mt 2,1–12 (Auftreten der drei Könige) in adiastematischen frühdeutschen Neumen für die liturgische Rezitation am Epiphaniasfest, dazu Musikalischer Lustgarten, 15f. Nr. I.3 (A. Roth/M. Staehelin) Im Capitulare auf Bl. 162r und 167r in marg. jeweils 1 Zeile Neumen.;1;deutsche Neumen;;;Notation vorhanden
Auf Bl. 57v–77r sind die Evangelienlesungen der Passionsgeschichte Christi von dominica in passione domini bis in parasceve mit rubrizierten litterae significativae versehen.;1;;;;
Bl. 129vb—131vb auf vier schwarzen Linien Hufnagelnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Buchstabennotation;4;Buchstabennotation;;;Notation vorhanden
Byzantinische Notation;2;Byzantinische Notation;;;Notation vorhanden
c-Schlüssel;1;;;;Notation vorhanden
Chomonie-Notation;1;Paläoslavische Notation;;;Notation vorhanden
Choralnotation;103;Quadratnotation;;;Notation vorhanden
Choralnotation, deutsche;13;deutsche Neumen auf Linien;;;Notation vorhanden
Choralnotation, französische;1;Quadratnotation;;;Notation vorhanden
Choralnotation, gotische;108;deutsche Neumen auf Linien;;;Notation vorhanden
Choralnotation, römische;83;Quadratnotation;;;Notation vorhanden
Das Gradualresponsorium ist mit Metzer Neumen notiert, die Lesungstexte sind mit Positurae für die korrekte Cantillatio versehen.;1;lothringische Neumen;;;Notation vorhanden
Deutsche Neumen, 4-Linien-Schema;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Die Antiphonen und Versikel zu den Vesperpsalmen (107v–142v) und die Gesangsteile des Officium defunctorum (153r–162v) sind jeweils mit gotischer Choralnotation auf einem Fünfliniensystem mit c- und f-Schlüssel ausgestattet.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Die nachgetragenen Antiphonen und Versikel des Ordinarium officii sind mit gotischer Choralnotation auf vier Notenlinien, meist mit c- und f-Schlüssel, versehen.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Die nachgetragenen Antiphonen und Versikel sind mit gotischer Choralnotation auf vier Notenlinien, meist mit c- und f-Schlüssel, versehen.;2;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Die originalen Antiphonen sind mit linienlosen Metzer Neumen notiert, die 1r auf dem Fußsteg nachgetragenen Antiphonen weisen eine gotische Choralnotation auf vier Notenlinien auf.;1;"lothringische Neumen; deutsche Neumen auf Linien";Vierliniensystem;;Notation vorhanden
Durchgängig gotische Choralnotation auf je 6 fünflinigen Notensystemem mit f- und c-Schlüssel.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
"Einige Textpassagen wurden nachträglich mit Neumen bzw. Hufnagelnotation zur Unterstützung des liturgischen Vortrags versehen: 8va–9ra: Mt 1,2–16 (Stammbaum Christi); 80ra–b: Mc 16,1–7 (Auferstehung, in marg. im 14. oder 15. Jh. ergänzt durch den typischen Perikopenzusatz In illo tempore); 8va–9ra: Mt 1,2–16 (Stammbaum Christi); 87rb: Lc 1,26–55 (Verkündigung und Heimsuchung Mariae); 110rb–va: Lc 12,35–40 (zunächst neumiert, später Neumen radiert und durch sparsame Hufnagelnotation ersetzt); 133 ...";1;Neumennotation;;;Notation vorhanden
Fast alle Gesangsteile (Ausnahmen sind genannt) sind in gotischer Choralnotation auf einem fünflinigen Notensystem mit c- und f-Schlüssel notiert.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
fünfzeilige Notation;1;;Fünfliniensystem;;Notation vorhanden
Gesänge mit Hufnagelnotation auf 4 Linien (f-Linie rot, c-Linie gelb ausgezeichnet).;1;deutsche Neumen auf Linien;Vierliniensystem;"Rot; Gelb";Notation vorhanden
Gesangteile (Introitus und Psalmverse) in kleinerer Schrift abgesetzt, mit linienlosen Metzer Neumen notiert.;1;lothringische Neumen;;;Notation vorhanden
Hexachordtabelle;1;;;;
Hufnagelnotation;579;deutsche Neumen auf Linien;;;Notation vorhanden
Hufnagelnotation auf 3 bis 5 Linien, f-Linie rot.;1;deutsche Neumen auf Linien;"Dreiliniensystem; Vierliniensystem; Fünfliniensystem";Rot;Notation vorhanden
Hufnagelnotation auf 4 Linien.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation auf Fünfliniensystem;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Hufnagelnotation auf Vierliniensystem;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation, 3-Linien-System;1;deutsche Neumen auf Linien;Dreiliniensystem;;Notation vorhanden
Hufnagelnotation, 4-Linien-Schema;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation, 4-Linien-System;13;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation, 5-Linien-System;8;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Hufnagelnotation, deutsch, 4-Linien-System;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation, deutsch, 5-Linien-System;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Hufnagelnotation, deutsche, Fünf-Linien-System;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Hufnagelnotation, deutsche, Vier-Linien-System;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Hufnagelnotation, Fünf-Linien-System;8;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Hufnagelnotation, Vier-Linien-System;2;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Im gesamten Codex wurden Positurae als Hilfen für die liturgischen Lesungen nachgetragen.;1;;;;
In den kleiner geschriebenen Gesangsteilen über jeder Textzeile ein Notensystem aus vier Notenlinien, f-Linie rot, c-Schlüssel. Diastematische deutsche Neumen, Epoche III (vgl. Stäblein, 194f. mit Abb. 67).;1;deutsche Neumen auf Linien;Vierliniensystem;Rot;Notation vorhanden
Jeweils die erste Strophe der Hymnen auf Bl. 13v und 26r, die Antiphonen und Versikel zu den Vesperpsalmen (100r–136r) und die Gesangsteile des Officium defunctorum (142v–157r) sind jeweils mit gotischer Choralnotation auf einem Fünfliniensystem ausgestattet.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Lektionstöne;7;;;;
Lektionszeichen;17;;;;
Liederbuch-Notation;1;;;;Notation vorhanden
Liniennotation;3;;;;Notation vorhanden
meist 10 fünflinige Notenzeilen mit Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Meist 10 Notensysteme zu 4 Linien (Hufnagelnotation) mit je einer Textzeile.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Mensuralnotation;41;Mensuralnotation;;;Notation vorhanden
Mensuralnotation (1recto);1;Mensuralnotation;;;Notation vorhanden
Mensuralnotation, 5-Linien-System;1;Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Mensuralnotation, gotische;1;Mensuralnotation;;;Notation vorhanden
Mensuralnotation, schwarze, 4-Linien-System;3;schwarze Mensuralnotation;Vierliniensystem;;Notation vorhanden
Mensuralnotation, weiße;1;weiße Mensuralnotation;;;Notation vorhanden
Mensuralnotation, weiße (1recto-1verso)& 5-Liniensystem (1recto-1verso);1;weiße Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Mensuralnotation, weiße, 5-Linien-System;1;weiße Mensuralnotation;Fünfliniensystem;;Notation vorhanden
Metzer-Sankt Galler Mischnotation;2;Neumennotation;;;Notation vorhanden
Metzer Neumen;28;lothringische Neumen;;;Notation vorhanden
