"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 150 Cim."$"2o Jurid. 150"$"2° Jurid. 150"$"2º Jurid. 150"$"Jurid. 150"$"2° Cod. Ms. jurid. 150 Cim."$"2° Cod. Ms. jurid. 150"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 151"$"2o Jurid. 151"$"2° Jurid. 151"$"2º Jurid. 151"$"Jurid. 151"$"2° Cod. Ms. jurid. 151"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 155 Cim."$"2o Jurid. 155"$"2° Jurid. 155"$"2º Jurid. 155"$"Jurid. 155"$"2° Cod. Ms. jurid. 155 Cim."$"2° Cod. Ms. jurid. 155"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 157"$"2o Jurid. 157"$"2° Jurid. 157"$"2º Jurid. 157"$"Jurid. 157"$"2° Cod. Ms. jurid. 157"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 159"$"2o Jurid. 159"$"2° Jurid. 159"$"2º Jurid. 159"$"Jurid. 159"$"2° Cod. Ms. jurid. 159"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 161"$"2o Jurid. 161"$"2° Jurid. 161"$"2º Jurid. 161"$"Jurid. 161"$"2° Cod. Ms. jurid. 161"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 23"$"2o Jurid. 23"$"2° Jurid. 23"$"2º Jurid. 23"$"Jurid. 23"$"2° Cod. Ms. jurid. 23"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 24"$"2o Jurid. 24"$"2° Jurid. 24"$"2º Jurid. 24"$"Jurid. 24"$"2° Cod. Ms. jurid. 24"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 25"$"2o Jurid. 25"$"2° Jurid. 25"$"2º Jurid. 25"$"Jurid. 25"$"2° Cod. Ms. jurid. 25"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 28"$"2o Jurid. 28"$"2° Jurid. 28"$"2º Jurid. 28"$"Jurid. 28"$"2° Cod. Ms. jurid. 28"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 28 i"$"2 Cod. Ms. jurid. 28i"$"2o Jurid. 28i"$"2° Jurid. 28i"$"2º Jurid. 28i"$"Jurid. 28i"$"2° Cod. Ms. jurid. 28i"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 55"$"2o Jurid. 55"$"2° Jurid. 55"$"2º Jurid. 55"$"Jurid. 55"$"2° Cod. Ms. jurid. 55"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 56 i"$"2 Cod. Ms. jurid. 56i"$"2o Jurid. 56i"$"2° Jurid. 56i"$"2º Jurid. 56i"$"Jurid. 56i"$"2° Cod. Ms. jurid. 56i"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 68"$"2o Jurid. 68"$"2° Jurid. 68"$"2º Jurid. 68"$"Jurid. 68"$"2° Cod. Ms. jurid. 68"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 90"$"2o Jurid. 90"$"2° Jurid. 90"$"2º Jurid. 90"$"Jurid. 90"$"2° Cod. Ms. jurid. 90"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 90 g"$"2 Cod. Ms. jurid. 90g"$"2o Jurid. 90g"$"2° Jurid. 90g"$"2º Jurid. 90g"$"Jurid. 90g"$"2° Cod. Ms. jurid. 90g"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 115 e"$"2 Cod. Ms. philol. 115e"$"2o Philol. 115e"$"2° Philol. 115e"$"2º Philol. 115e"$"Philol. 115e"$"2 Philol. 115 e"$"2 Philol. 115e"$"2° Cod. Ms. philol. 115e"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 140"$"2o Philol. 140"$"2° Philol. 140"$"2º Philol. 140"$"Philol. 140"$"2° Cod. Ms. philol. 140"$"Cod. Ms. philol. 140"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 141"$"2o Philol. 141"$"2° Philol. 141"$"2º Philol. 141"$"Philol. 141"$"2° Cod. Ms. philol. 141"$"Cod. Ms. philol. 141"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 143"$"2o Philol. 143"$"2° Philol. 143"$"2º Philol. 143"$"Philol. 143"$"2° Cod. Ms. philol. 143"$"Cod. Ms. philol. 143"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 162"$"2o Philol. 162"$"2° Philol. 162"$"2º Philol. 162"$"Philol. 162"$"2° Cod. Ms. philol. 162"$"Cod. Ms. philol. 162"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philol. 166"$"2o Philol. 166"$"2° Philol. 166"$"2º Philol. 166"$"Philol. 166"$"2° Cod. Ms. philol. 166"$"Cod. Ms. philol. 166"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philos. 14"$"2o Philos. 14"$"2° Philos. 14"$"2º Philos. 14"$"Philos. 14"$"2° Cod. Ms. philos. 14"$"Cod. Ms. philos. 14"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philos. 42 m"$"2 Cod. Ms. philos. 42m"$"2o Philos. 42m"$"2° Philos. 42m"$"2º Philos. 42m"$"Philos. 42m"$"2 Philos. 42 m"$"2 Philos. 42m"$"2° Cod. Ms. philos. 42m"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. philos. 46"$"2o Philos. 46"$"2° Philos. 46"$"2º Philos. 46"$"Philos. 46"$"2° Cod. Ms. philos. 46"$"Cod. Ms. philos. 46"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"2 Cod. Ms. jurid. 27 Cim."$"2o Jurid. 27"$"2° Jurid. 27"$"2º Jurid. 27"$"Jurid. 27"$"2° Cod. Ms. jurid. 27 Cim."$"2° Cod. Ms. jurid. 27"$"2° Cod. Ms. jurid. 27 cim."
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"4 Cod. Ms. philol. 107"$"4o Philol. 107"$"4° Philol. 107"$"4º Philol. 107"$"Philol. 107"$"4° Cod. Ms. philol. 107"$"Cod. Ms. philol. 107"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"4 Cod. Ms. philol. 118"$"4o Philol. 118"$"4° Philol. 118"$"4º Philol. 118"$"Philol. 118"$"4° Cod. Ms. philol. 118"$"Cod. Ms. philol. 118"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"4 Cod. Ms. philol. 173"$"4o Philol. 173"$"4° Philol. 173"$"4º Philol. 173"$"Philol. 173"$"4° Cod. Ms. philol. 173"$"Cod. Ms. philol. 173"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. jurid. 149"$"8o Jurid. 149"$"8° Jurid. 149"$"8º Jurid. 149"$"Jurid. 149"$"8° Cod. Ms. jurid. 149"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. jurid. 163"$"8o Jurid. 163"$"8° Jurid. 163"$"8º Jurid. 163"$"Jurid. 163"$"8° Cod. Ms. jurid. 163"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. jurid. 163 b"$"8 Cod. Ms. jurid. 163b"$"8o Jurid. 163b"$"8° Jurid. 163b"$"8º Jurid. 163b"$"Jurid. 163b"$"8° Cod. Ms. jurid. 163b"
"Göttingen"$"4021477-1"$"Niedersächsische Staats- und Universitätsbibliothek Göttingen"$"2020450-4"$"8 Cod. Ms. philol. 106"$"8o Philol. 106"$"8° Philol. 106"$"8º Philol. 106"$"Philol. 106"$"8° Cod. Ms. philol. 106"$"Cod. Ms. philol. 106"
