"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 33"$"Heidelb. 358, 38"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 43"$"Heidelb. 358, 43²"$"Heidelb. 358, 43 2"$"Heidelb. 358, 60²"$"Heidelb. 358, 60 2"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heidelb. 358, 86a"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 64"$"Heidelb. 359, 1"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 68"$"Heidelb. 359, 5"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 132"$"Heidelb. 359, 55"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 138"$"Heidelb. 359, 59"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 232"$"Heidelb. 362a, 39"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 212"$"Heidelb. 362a, 4"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 214"$"Heidelb. 362a, 6"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 239"$"Heidelb. 362a, 57"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 200"$"Heidelb. 362a, 83"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 201"$"Heidelb. 362a, 84"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 202"$"Heidelb. 362a, 85"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 407"$"Heidelb. 362d, 92"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 429"$"Heidelb. 363, 5"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 480"$"Heidelb. 363, 60"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Heid. Hs. 1766"$"Heidelb. 372"$"Heidelb. 372, 1"$"Heidelb. 372 (recte Heidelb. 372, 1)"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 147"$"Trübner 42"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 143"$"Trübner 44"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 137"$"Trübner 71"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 1474"$"Trübner 142"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 1483"$"Trübner 131"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 1489"$"Trübner 141"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Trübner 1491"$"Trübner 148"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 1b"$"Salem. VII,1b"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 2"$"Salem. VII,2"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 4d"$"Salem. VII,4d"$"Salem VII, 4d"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 37"$"Salem. VII,37"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 98"$"Salem. VII,98"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 99"$"Salem. VII,99"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 100"$"Salem. VII,100"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 104"$"Salem. VII,104"
"Heidelberg"$"4023996-2"$"Universitätsbibliothek Heidelberg"$"2002498-8"$"Cod. Sal. VII, 114"$"Salem. VII,114"
