"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Bc 1a*"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Cb 60*"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 1"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 2"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 3"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 4"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 5"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 13"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 16"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 17"$"923/203"$"848/268"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 18"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 22"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 23"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 24"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 26"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 27"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 28"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 29"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 30"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 33"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 34"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 35"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 36"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 37"$"2218/6"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 39"$"2228/95"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 40"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 43"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 47"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 57"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 62"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 76"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 144"
"Überlingen"$"4061399-9"$"Leopold-Sophien-Bibliothek"$"4200779-3"$"Ms. 154"$"6797/11"
