"1"$"IV Hs. 111"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1671445252923/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/!image/1671445252923/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1671445252923/files/images/000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2023"$"2023"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"2"$"IV Hs. 112"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1671445551007/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1671445551007/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1671445551007/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2023"$"2023"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"3"$"IV Hs. 113"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1626425839791/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1626425839791/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1626425839791/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2022"$"2022"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"4"$"IV Hs. 116"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1678371298640/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1678371298640/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1678371298640/files/images/000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2023"$"2023"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"5"$"IV Hs. 117"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1678371648724/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1678371648724/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1678371648724/files/images/000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2023"$"2023"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"6"$"Familiaria 6"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1425033127913/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1425033127913/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1425033127913/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2015"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"7"$"IV Hs. 91"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130194771/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1510130194771/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130194771/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"8"$"V Waldec. 704"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510131287097/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1510131287097/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510131287097/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"9"$"IV Hs. 100"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130888850/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1510130888850/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130888850/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
"10"$"IV Hs. 95"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130694017/manifest/"$"https://orka.bibliothek.uni-kassel.de/viewer/image/1510130694017/"$"https://orka.bibliothek.uni-kassel.de/viewer/api/v1/records/1510130694017/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2018"$"2018"$"Fürstlich Waldecksche Hofbibliothek Arolsen"$"https://d-nb.info/gnd/10044332-1"$"Bad Arolsen"$"https://d-nb.info/gnd/4003019-2"$"Universitätsbibliothek Kassel, Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel"$"http://d-nb.info/gnd/10008839-9"$"Kassel"$"http://d-nb.info/gnd/4029869-3"
