"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1"$"Ms germ fol 1"$"Ms.germ.fol.1"$"Ms. Germ. Fol. 1"$"Ms. Germ. fol. 1"$"Ms. Germ. 2° 1"$"Germ. fol. 1"$"Ms. germ. 2° 1"$"Mgf 1"$"mgf 1"$"Ms. germ. 2º 1"$"Cod. germ. fol. 1"$"Cod. germ. 2º"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 100"$"Ms germ fol 100"$"Ms.germ.fol.100"$"Ms. Germ. Fol. 100"$"Ms. Germ. fol. 100"$"Ms. Germ. 2° 100"$"Germ. fol. 100"$"Ms. germ. 2° 100"$"Mgf 100"$"mgf 100"$"Ms. germ. 2º 100"$"Cod. germ. 2º 100"$"Cod. germ. fol. 100"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 10"$"Ms germ fol 10"$"Ms.germ.fol.10"$"Ms. Germ. Fol. 10"$"Ms. Germ. fol. 10"$"Ms. Germ. 2° 10"$"Germ. fol. 10"$"Ms. germ. 2° 10"$"Mgf 10"$"mgf 10"$"Ms. germ. 2º 10"$"Cod. germ. 2º 10"$"Cod. germ. fol. 10"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1000"$"Ms germ fol 1000"$"Ms.germ.fol.1000"$"Ms. Germ. Fol. 1000"$"Ms. Germ. fol. 1000"$"Ms. Germ. 2° 1000"$"Germ. fol. 1000"$"Ms. germ. 2° 1000"$"Mgf 1000"$"mgf 1000"$"Ms. germ. 2º 1000"$"Cod. germ. 2º 1000"$"Cod. germ. fol. 1000"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1001"$"Ms germ fol 1001"$"Ms.germ.fol.1001"$"Ms. Germ. Fol. 1001"$"Ms. Germ. fol. 1001"$"Ms. Germ. 2° 1001"$"Germ. fol. 1001"$"Ms. germ. 2° 1001"$"Mgf 1001"$"mgf 1001"$"Ms. germ. 2º 1001"$"Cod. germ. 2º 1001"$"Cod. germ. fol. 1001"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1002"$"Ms germ fol 1002"$"Ms.germ.fol.1002"$"Ms. Germ. Fol. 1002"$"Ms. Germ. fol. 1002"$"Ms. Germ. 2° 1002"$"Germ. fol. 1002"$"Ms. germ. 2° 1002"$"Mgf 1002"$"mgf 1002"$"Ms. germ. 2º 1002"$"Cod. germ. 2º 1002"$"Cod. germ. fol. 1002"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1003"$"Ms germ fol 1003"$"Ms.germ.fol.1003"$"Ms. Germ. Fol. 1003"$"Ms. Germ. fol. 1003"$"Ms. Germ. 2° 1003"$"Germ. fol. 1003"$"Ms. germ. 2° 1003"$"Mgf 1003"$"mgf 1003"$"Ms. germ. 2º 1003"$"Cod. germ. 2º 1003"$"Cod. germ. fol. 1003"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1004"$"Ms germ fol 1004"$"Ms.germ.fol.1004"$"Ms. Germ. Fol. 1004"$"Ms. Germ. fol. 1004"$"Ms. Germ. 2° 1004"$"Germ. fol. 1004"$"Ms. germ. 2° 1004"$"Mgf 1004"$"mgf 1004"$"Ms. germ. 2º 1004"$"Cod. germ. 2º 1004"$"Cod. germ. fol. 1004"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1005"$"Ms germ fol 1005"$"Ms.germ.fol.1005"$"Ms. Germ. Fol. 1005"$"Ms. Germ. fol. 1005"$"Ms. Germ. 2° 1005"$"Germ. fol. 1005"$"Ms. germ. 2° 1005"$"Mgf 1005"$"mgf 1005"$"Ms. germ. 2º 1005"$"Cod. germ. 2º 1005"$"Cod. germ. fol. 1005"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1006"$"Ms germ fol 1006"$"Ms.germ.fol.1006"$"Ms. Germ. Fol. 1006"$"Ms. Germ. fol. 1006"$"Ms. Germ. 2° 1006"$"Germ. fol. 1006"$"Ms. germ. 2° 1006"$"Mgf 1006"$"mgf 1006"$"Ms. germ. 2º 1006"$"Cod. germ. 2º 1006"$"Cod. germ. fol. 1006"
"Berlin"$"4005728-8"$"Staatsbibliothek zu Berlin"$"5036103-X"$"Ms. germ. fol. 1007"$"Ms germ fol 1007"$"Ms.germ.fol.1007"$"Ms. Germ. Fol. 1007"$"Ms. Germ. fol. 1007"$"Ms. Germ. 2° 1007"$"Germ. fol. 1007"$"Ms. germ. 2° 1007"$"Mgf 1007"$"mgf 1007"$"Ms. germ. 2º 1007"$"Cod. germ. 2º 1007"$"Cod. germ. fol. 1007"
