"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"brem.a.1154-XVI"$"brem.a.1154"$"Brem. a. 1154"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"brem.b.1466"$"Brem. b. 1466"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"bs 2234"$"BS 2234"$"VD16:S 5271"$"S 5271"$"V.2.c.5"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0001-01"$"Ms.a.1 a"$"Ms.a.1a"$"Ms. a. 1a"$"Ms. a 1a"$"ms. a. 1a"$"Cod. a 1a"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0001-02"$"Ms.a.1 b"$"Ms.a.1b"$"Ms. a. 1b"$"Ms. a 1b"$"ms. a. 1b"$"Cod. a 1b"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0002-01"$"Ms.a.2 a"$"Ms.a.2a"$"Ms. a. 2a"$"Ms. a 2a"$"ms. a. 2a"$"Cod. a 2a"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0002-02"$"Ms.a.2 b"$"Ms.a.2b"$"Ms. a. 2b"$"Ms. a 2b"$"ms. a. 2b"$"Cod. a 2b"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0003"$"msa 3"$"ms.a 0003"$"Ms. a 0003"$"ms. a. 3"$"ms. a 3"$"Ms.a.3"$"Ms. a. 3"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0004"$"msa 4"$"ms.a 0004"$"Ms. a 0004"$"ms. a. 4"$"ms. a 4"$"Ms.a.4"$"Ms. a. 4"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0005"$"msa 5"$"ms.a 0005"$"Ms. a 0005"$"ms. a. 5"$"ms. a 5"$"Ms.a.5"$"Ms. a. 5"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0006"$"msa 6"$"ms.a 0006"$"Ms. a 0006"$"ms. a. 6"$"ms. a 6"$"Ms.a.6"$"Ms. a. 6"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0016"$"msa 16"$"ms.a 0016"$"Ms. a 0016"$"ms. a. 16"$"ms. a 16"$"Ms.a.16"$"Ms. a. 16"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0017"$"msa 17"$"ms.a 0017"$"Ms. a 0017"$"ms. a. 17"$"ms. a 17"$"Ms.a.17"$"Ms. a. 17"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0018"$"msa 18"$"ms.a 0018"$"Ms. a 0018"$"ms. a. 18"$"ms. a 18"$"Ms.a.18"$"Ms. a. 18"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0019"$"msa 19"$"ms.a 0019"$"Ms. a 0019"$"ms. a. 19"$"ms. a 19"$"Ms.a.19"$"Ms. a. 19"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0020"$"msa 20"$"ms.a 0020"$"Ms. a 0020"$"ms. a. 20"$"ms. a 20"$"Ms.a.20"$"Ms. a. 20"
"Bremen"$"4008135-7"$"Staats- und Universitätsbibliothek Bremen"$"130088-X"$"msa 0021"$"msa 21"$"ms.a 0021"$"Ms. a 0021"$"ms. a. 21"$"ms. a 21"$"Ms.a.21"$"Ms. a. 21"
