"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"BB 2115"$"Hs. BB 2115"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"BB 12446"$"Hs. BB 12446"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"BB 22841"$"BB 22841 W (H)"$"Hs. BB 22841 W (H)"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"BB 3613"$"BB Hs. 3613"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"BB 3944"$"BB Hs. 3944"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 1"$"Bruchst. 1"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 2"$"Bruchst. 2"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 3"$"Bruchst. 3"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 4"$"Bruchst. 4"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 5"$"Bruchst. 5"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 6"$"Bruchst. 6"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 7"$"Bruchst. 7"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 8"$"Bruchst. 8"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Gernröder Fragmente, Bruchst. 9"$"Bruchst. 9"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 2"$"Georg. 2"$"Hs. Georg. 2. 4°"$"Cod. Georg. 2° 16"$"Cod. Georg. 2° 90"$"Cod. Georg. 2° 141"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 3"$"Georg. 3"$"Hs. Georg. 3. 4°"$"17. 2°"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 7b"$"Hs. Georg. 7b"$"Georg. 7b"$"Hs. Georg 76"$"Georg Hs. 76"$"Georg. 76"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 8"$"Georg. 8"$"Hs. Georg. 8. 4°"$"Cod. Georg. 2°, 2"$"Cod. Georg. 2° F 12"$"Georg. 8"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 9"$"Georg. 9"$"Hs. Georg. 9. 4°"$"Cod. Georg. 4°, 21"$"Cod. Georg. 4° F 12"$"Georg. 9"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 10"$"Georg. 10"$"Hs. Georg. 10. 8° (4°)"$"Cod. Georg. 4°, 23"$"Cod. Georg. 4° E 7"$"Georg. 10"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 11"$"Georg. 11"$"Hs. Georg. 11. 8°"$"198. 8°"$"Georg. 11"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 18"$"Hs. Georg. 18. 4°"$"Georg. 18"
"Dessau-Roßlau"$"7576656-5"$"Stadtarchiv Dessau-Roßlau, Anhaltische Landesbücherei"$"65928-9"$"Georg 22"$"Hs. Georg. 22. 4°"$"4. 2°"$"Georg. 22"
