"1"$"Bint. Ms. 1257"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7039938/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-347178"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7039939"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"20.02.2014"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$""$""$""$"
"2"$"K03:F53"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/9170391/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-511922"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/9170394"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"25.02.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$""$""$""$"
"3"$"K14:010"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/11307986/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-998998"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/11321459"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.06.2023"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"4"$"K15:014"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/11307987/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-998980"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/11295504"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"28.06.2023"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"5"$"Ms. A 1"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7318784/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-386679"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7318785"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"6"$"Ms. A 2"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7340741/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-390776"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7340742"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"7"$"Ms. A 3"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7630192/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-427165"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7630193"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"8"$"Ms. A 4"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7643465/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-428085"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7643466"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"9"$"Ms. A 5"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7653958/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-430031"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7653959"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"10"$"Ms. A 6"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/3806915/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-125108"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/3806917"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"29.09.2021"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"11"$"Ms. A 7"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7654780/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-430044"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7654781"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"12"$"Ms. A 8"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/790241/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-14363"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/288972"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"13"$"Ms. A 9"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7655097/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-430058"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7655098"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"14"$"Ms. A 10"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7663522/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-430742"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7663523"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"15"$"Ms. A 11"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7663808/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-430757"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7663809"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"16"$"Ms. A 12"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7668911/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-431140"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7668912"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"17"$"Ms. A 13"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7673983/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-431152"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7673984"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"18"$"Ms. A 14"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7674176/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-431165"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7674177"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"19"$"Ms. A 15"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/7813049/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-445643"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/7813050"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"20"$"Ms. A 16"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/790238/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-14358"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/288418"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"21"$"Ms. A 17"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/794001/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-14469"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/792308"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.08.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"22"$"Ms. A 19"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/9617579/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-526207"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/9617580"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"30.09.2016"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"23"$"Ms. B 1"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/4465161/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-168775"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/4465163"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"30.10.2012"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
"24"$"Ms. B 2a"$"https://digital.ub.uni-duesseldorf.de/i3f/v20/3774436/manifest"$"https://nbn-resolving.org/urn:nbn:de:hbz:061:1-117445"$"https://digital.ub.uni-duesseldorf.de/download/webcache/304/3774438"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"01.06.2012"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"$"Universitäts- und Landesbibliothek Düsseldorf"$"http://d-nb.info/gnd/5085763-0"$"Düsseldorf"$"http://d-nb.info/gnd/4013255-9"
