"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"B. V. 2"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"B. V. 3"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"B. V. 5"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"B. V. 6"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"B. X. 46"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"C. I*. 2"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"C. I*. 3"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"D. II. 1"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"P. IV. 45"
"Eger (Ungarn)"$"4015304-6"$"Erzdiözesanbibliothek"$"5251077-3"$"U. X. 1"
