"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"10957"$"Inv.Nr. 10957"$"Inv. Nr. 10957"$"STV A 1202"$"A 1202"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"10958"$"Inv.Nr. 10958"$"Inv. Nr. 10958"$"STV A 1201"$"A 1201"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11724"$"Inv.Nr. 11724"$"Inv. Nr. 11724"$"STV A 1206"$"A 1206"$"Cod. Adelh. Nr. 6"$"Inv.-Nr. 11724"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11726"$"Inv.Nr. 11726"$"Inv. Nr. 11726"$"STV A 1208"$"A 1208"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11728"$"Inv.Nr. 11728"$"Inv. Nr. 11728"$"STV A 1210"$"A 1210"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11729"$"Inv.Nr. 11729"$"Inv. Nr. 11729"$"STV A 1211"$"A 1211"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11730"$"Inv.Nr. 11730"$"Inv. Nr. 11730"$"Kat. Adelh. 337"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11732"$"Inv.Nr. 11732"$"Inv. Nr. 11732"$"Kat. Adelh. 340"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11734"$"Inv.Nr. 11734"$"Inv. Nr. 11734"$"Kat. Adelh. 322"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11737"$"Inv.Nr. 11737"$"Inv. Nr. 11737"$"Kat. Adelh. 327"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11738"$"Inv.Nr. 11738"$"Inv. Nr. 11738"$"Kat. Adelh. 321"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11740"$"Inv.Nr. 11740"$"Inv. Nr. 11740"$"Kat. Adelh. 328"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11741"$"Inv.Nr. 11741"$"Inv. Nr. 11741"$"Kat. Adelh. 331"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"11742"$"Inv.Nr. 11742"$"Inv. Nr. 11742"$"Kat. Adelh. 319"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"A 1228"$"A1228"$"11746"$"Inv.Nr. 11746"$"Inv. Nr. 11746"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"12197"$"Inv.Nr. 12197"$"Inv. Nr. 12197"$"STV A 1234"$"A 1234"
"Freiburg im Breisgau"$"4018272-1"$"Adelhausenstiftung"$"2086132-1"$"Inv.-Nr. H 1207"$"Inv.-Nr. 1207"$"H 1207"
