"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Fragm. 1"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Fragm. 2"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Fragm. 3"$"Ha 415c"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Fragm. 4"$"Ha 102"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Fragm. 5"$"Ha 208"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 1"$"olim: Adelh. Hs. 01"$"Adelh. Hs. 01"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 2"$"olim: Adelh. Hs. 02"$"Adelh. Hs. 02"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 3"$"olim: Adelh. Hs. 03"$"Adelh. Hs. 03"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 4"$"olim: Adelh. Hs. 04"$"Adelh. Hs. 04"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 5"$"olim: Adelh. Hs. 05"$"Adelh. Hs. 05"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 6"$"olim: Adelh. Hs. 06"$"Adelh. Hs. 06"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 7"$"olim: Adelh. Hs. 07"$"Adelh. Hs. 07"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 8"$"olim: Adelh. Hs. 08"$"Adelh. Hs. 08"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 9"$"olim: Adelh. Hs. 09"$"Adelh. Hs. 09"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 10"$"olim: Adelh. Hs. 10"$"Adelh. Hs. 10"$"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 11"$"olim: Adelh. Hs. 11"$"Adelh. Hs. 11"$"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 12"$"olim: Adelh. Hs. 12"$"Adelh. Hs. 12"$"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 13"$"olim: Adelh. Hs. 13"$"Adelh. Hs. 13"$"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 15"$"olim: Adelh. Hs. 14"$"Adelh. Hs. 14"$"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 18"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 19"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 20"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 21"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 22"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 23"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 24"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 25"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 26"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 27"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 28"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 29"$"Adelh. F² H V a 8"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 30"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 31"
"Freiburg im Breisgau"$"4018272-1"$"Erzbischöfliches Archiv Freiburg"$"2075668-9"$"Hs. 32"
