"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 26"$"Hs. 26"$"Ms 26"$"Ms. 26"$"Cod. 26"$"UB Gießen, Hs 26"
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 31"$"Hs. 31"$"Ms 31"$"Ms. 31"$"Cod. 31"$"UB Gießen, Hs 31"
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 42"$"Hs. 42"$"Ms 42"$"Ms. 42"$"Cod. 42"$"UB Gießen, Hs 42"$"B.G.XVI.67."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 43"$"Hs. 43"$"Ms 43"$"Ms. 43"$"Cod. 43"$"UB Gießen, Hs 43"$"B.G.(3).36."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 44"$"Hs. 44"$"Ms 44"$"Ms. 44"$"Cod. 44"$"UB Gießen, Hs 44"$"B.G.XV.14.a."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 45"$"Hs. 45"$"Ms 45"$"Ms. 45"$"Cod. 45"$"UB Gießen, Hs 45"
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 52"$"Hs. 52"$"Ms 52"$"Ms. 52"$"Cod. 52"$"UB Gießen, Hs 52"$"B.G.XV.12.a."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 53"$"Hs. 53"$"Ms 53"$"Ms. 53"$"Cod. 53"$"UB Gießen, Hs 53"$"B.G.XVI.88."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 54"$"Hs. 54"$"Ms 54"$"Ms. 54"$"Cod. 54"$"UB Gießen, Hs 54"$"B.G.XVI.50."
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 55"$"Hs. 55"$"Ms 55"$"Ms. 55"$"Cod. 55"$"UB Gießen, Hs 55"
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 62a"$"Hs 62 a"$"Hs. 62a"$"Hs. 62 a"$"Ms 62 a"$"Ms. 62 a"$"Cod. 62 a"$"Ms 62a"$"Ms. 62a"$"Cod. 62a"$"Hs 62.a."$"UB Gießen, Hs 62a"
"Gießen"$"4020989-1"$"Universitätsbibliothek Gießen"$"36194-X"$"Hs 63"$"Hs. 63"$"Ms 63"$"Ms. 63"$"Cod. 63"$"UB Gießen, Hs 63"
