"1"$"1.A.I."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1696301955/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5150696"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1696301955/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1696301955/manifest/"$"urn:nbn:de:gbv:9-g-5150696"
"2"$"2.A.II."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN169233722X/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5150684"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN169233722X/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"3"$"3.A.III."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726967395/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5156724"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1726967395/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"4"$"4.A.IV."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1734277696/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5199683"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735920274/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"5"$"5.A.V."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735920274/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5199683"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735920274/files/images/00000001.tif/full/!400,400/0/default.jpg "$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"6"$"6.B.I."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735953334/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5199834"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735953334/files/images/00000001.tif/full/!400,400/0/default.jpg "$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"7"$"7.B.II."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735950939/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5202848"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1735950939/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"8"$"8.B.III."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1775844641/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5202850"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1775844641/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2021"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"9"$"9.B.IV."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1016253575/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5149314"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1016253575/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2021"$"2022"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"10"$"10.B.V."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700565753/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151267"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700565753/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
"11"$"11.B.VI."$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700646451/manifest/"$"https://nbn-resolving.org/urn=urn:nbn:de:gbv:9-g-5151277"$"https://www.digitale-bibliothek-mv.de/viewer/api/v1/records/PPN1700646451/files/images/00000001.tif/full/!400,400/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2020"$"2020"$"Geistliches Ministerium Greifswald"$"https://d-nb.info/gnd/4648146-1"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"$"Universitätsbibliothek Greifswald"$"https://d-nb.info/gnd/41359-8"$"Greifswald"$"https://d-nb.info/gnd/4021965-3"
