"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"I Hs 1"$"he-exub-i-hs-1"$"he_exub_i-hs-0001"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"I Hs 2"$"he-exub-i-hs-2"$"he_exub_i-hs-0002"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pap. Frgm. 1"$"he-exub-pap-frgm-1"$"he_exub_pap-frgm-01"$"Pap.-Fragm. 1"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pap. Frgm. 2"$"he-exub-pap-frgm-2"$"he_exub_pap-frgm-02"$"Pap.-Fragm. 2"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 1"$"he-exub-pgt-frgm-1"$"he_exub_pgt-frgm-01"$"Pgt.-Fragm. 1"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 2"$"he-exub-pgt-frgm-2"$"he_exub_pgt-frgm-02"$"Pgt.-Fragm. 2"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 3"$"he-exub-pgt-frgm-3"$"he_exub_pgt-frgm-03"$"Pgt.-Fragm. 3"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 4"$"he-exub-pgt-frgm-4"$"he_exub_pgt-frgm-04"$"Pgt.-Fragm. 4"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 5"$"he-exub-pgt-frgm-5"$"he_exub_pgt-frgm-05"$"Pgt.-Fragm. 5"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 6"$"he-exub-pgt-frgm-6"$"he_exub_pgt-frgm-06"$"Pgt.-Fragm. 6"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 7"$"he-exub-pgt-frgm-7"$"he_exub_pgt-frgm-07"$"Pgt.-Fragm. 7"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 8"$"he-exub-pgt-frgm-8"$"he_exub_pgt-frgm-08"$"Pgt.-Fragm. 8"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 9"$"he-exub-pgt-frgm-9"$"he_exub_pgt-frgm-09"$"Pgt.-Fragm. 9"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 10"$"he-exub-pgt-frgm-10"$"he_exub_pgt-frgm-10"$"Pgt.-Fragm. 10"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 11"$"he-exub-pgt-frgm-11"$"he_exub_pgt-frgm-11"$"Pgt.-Fragm. 11"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 12"$"he-exub-pgt-frgm-12"$"he_exub_pgt-frgm-12"$"Pgt.-Fragm. 12"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 13"$"he-exub-pgt-frgm-13"$"he_exub_pgt-frgm-13"$"Pgt.-Fragm. 13"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 14"$"he-exub-pgt-frgm-14"$"he_exub_pgt-frgm-14"$"Pgt.-Fragm. 14"
"Helmstedt"$"4024344-8"$"Ehemalige Universitätsbibliothek (Helmstedt)"$"2043328-1"$"Pgt. Frgm. 15"$"he-exub-pgt-frgm-15"$"he_exub_pgt-frgm-15"$"Pgt.-Fragm. 15"
