"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 15"$"Hildesheim Andr. 15"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Andreanum 16"$"Hildesheim Andr. 16"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 50 Nr. 3"$"HA 17"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 50 Nr. 19"$"HA 18"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 10a"$"HM 10a"$"Best. 52 Nr. 10 a"$"HM 10 a"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 171"$"HM 171"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 180"$"HM 180"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 210/I"$"HM 210/I"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 210/II"$"HM 210/II"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 211"$"HM 211"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 212"$"HM 212"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 213"$"HM 213"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 340"$"HM 340"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 343"$"HM 343"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 344"$"HM 344"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 345"$"HM 345"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 350"$"HM 350"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 351"$"HM 351"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 366"$"HM 366"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 367"$"HM 367"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 368"$"HM 368"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 369"$"HM 369"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 370"$"HM 370"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 372"$"HM 372"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 373"$"HM 373"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 374"$"HM 374"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 375"$"HM 375"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 376"$"HM 376"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 377"$"HM 377"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 378"$"HM 378"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 379"$"HM 379"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 380"$"HM 380"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 381"$"HM 381"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 382"$"HM 382"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 383"$"HM 383"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 384"$"HM 384"
"Hildesheim"$"4024881-1"$"Stadtarchiv Hildesheim"$"4481601-7"$"Best. 52 Nr. 385"$"HM 385"
