"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 34"$"Best. 701, Nr. 34"$"Bestand 701, Nr. 34"$"Bestand 701 Nr. 34"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 70"$"Best. 701, Nr. 70"$"Bestand 701, Nr. 70"$"Bestand 701 Nr. 70"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 81"$"Best. 701, Nr. 81"$"Bestand 701, Nr. 81"$"Bestand 701 Nr. 81"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 86 Unternummer a"$"Best. 701 Nr. 86a"$"Best. 701, Nr. 86a"$"Bestand 701, Nr. 86a"$"Bestand 701 Nr. 86a"$"Best. 701 Nr. 86 Unternr. a"$"Best. 701 Nr. 86 Unternr.a"$"Best. 701 Nr. 86 UNr. a"$"Best. 701 Nr. 86 UNr.a"$"Best. 701 Nr. 86 a"$"Best. 701 Nr. 86/a"$"Best. 701 Nr. 86 / a"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 87"$"Best. 701, Nr. 87"$"Bestand 701, Nr. 87"$"Bestand 701 Nr. 87"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 95"$"Best. 701, Nr. 95"$"Bestand 701, Nr. 95"$"Bestand 701 Nr. 95"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 101"$"Best. 701, Nr. 101"$"Bestand 701, Nr. 101"$"Bestand 701 Nr. 101"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 104"$"Best. 701, Nr. 104"$"Bestand 701, Nr. 104"$"Bestand 701 Nr. 104"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 105"$"Best. 701, Nr. 105"$"Bestand 701, Nr. 105"$"Bestand 701 Nr. 105"
"Koblenz"$"4031410-8"$"Landeshauptarchiv"$"2042220-9"$"Best. 701 Nr. 110"$"Best. 701, Nr. 110"$"Bestand 701, Nr. 110"$"Bestand 701 Nr. 110"
