"1"$"H 1"$"https://iiif.ub.uni-leipzig.de/0000056629/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-581559"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056629/00000003.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"2"$"H 2"$"https://iiif.ub.uni-leipzig.de/0000056558/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585149"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0565/0000056558/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"3"$"H 3"$"https://iiif.ub.uni-leipzig.de/0000056616/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585360"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056616/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"4"$"H 4"$"https://iiif.ub.uni-leipzig.de/0000056598/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585158"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0565/0000056598/00000003.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"5"$"H 5"$"https://iiif.ub.uni-leipzig.de/0000056644/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586126"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056644/00000005.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"6"$"H 6"$"https://iiif.ub.uni-leipzig.de/0000056703/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586283"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056703/00000007.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"7"$"Urk. 1194, Fragment 1"$"https://iiif.ub.uni-leipzig.de/0000056609/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585670"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056609/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"8"$"Urk. 1194, Fragment 2"$"https://iiif.ub.uni-leipzig.de/0000056599/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585791"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0565/0000056599/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"9"$"Urk. 1194, Fragment 3"$"https://iiif.ub.uni-leipzig.de/0000056804/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587599"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0568/0000056804/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"10"$"Urk. 1194, Fragment 4"$"https://iiif.ub.uni-leipzig.de/0000056600/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585804"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056600/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"11"$"Urk. 1194, Fragment 5"$"https://iiif.ub.uni-leipzig.de/0000056617/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585819"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056617/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"12"$"Urk. 1194, Fragment 6"$"https://iiif.ub.uni-leipzig.de/0000056614/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585824"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056614/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"13"$"Urk. 1194, Fragment 7"$"https://iiif.ub.uni-leipzig.de/0000056613/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585837"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056613/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"14"$"Urk. 1194, Fragment 8"$"https://iiif.ub.uni-leipzig.de/0000056618/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585840"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056618/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"15"$"Urk. 1194, Fragment 9"$"https://iiif.ub.uni-leipzig.de/0000056615/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585862"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056615/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"16"$"Urk. 1194, Fragment 10"$"https://iiif.ub.uni-leipzig.de/0000056659/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-585871"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056659/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"17"$"Urk. 1194, Fragment 11"$"https://iiif.ub.uni-leipzig.de/0000056657/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586555"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056657/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"18"$"Urk. 1194, Fragment 12"$"https://iiif.ub.uni-leipzig.de/0000056658/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586569"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056658/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"19"$"Urk. 1194, Fragment 13"$"https://iiif.ub.uni-leipzig.de/0000056660/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-586641"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0566/0000056660/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"20"$"Urk. 1194, Fragment 14"$"https://iiif.ub.uni-leipzig.de/0000056749/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587210"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056749/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
"21"$"Urk. 1194, Fragment 15"$"https://iiif.ub.uni-leipzig.de/0000056750/manifest.json"$"https://nbn-resolving.org/urn:nbn:de:bsz:15-0028-587225"$"https://iiif.ub.uni-leipzig.de/iiif/j2k/0000/0567/0000056750/00000001.jpx/full/200,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$""$"2025"$"Stadtarchiv (Meißen)"$"https://d-nb.info/gnd/16327698-5"$"Meißen"$"https://d-nb.info/gnd/4038474-3"$"Universitätsbibliothek Leipzig"$"https://d-nb.info/gnd/30026-3"$"Leipzig"$"https://d-nb.info/gnd/4035206-7"
