"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 215"$"In 1237"$"Fond 68, Nr. 215"$"Fonds 68. Nr. 215"$"Фонд 68, № 215"$"Фонд 68, ед. хр. 215"$"Фонд 68, N 215"$"Ин 1237"$"Ин. 1237"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 338"$"In 1360"$"Fond 68, Nr. 338"$"Fonds 68. Nr. 338"$"Фонд 68, № 338"$"Фонд 68, ед. хр. 338"$"Фонд 68, N 338"$"Ин 1360"$"Ин. 1360"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 339"$"In 1284"$"Fond 68, Nr. 339"$"Fonds 68. Nr. 339"$"Фонд 68, № 339"$"Фонд 68, ед. хр. 339"$"Фонд 68, N 339"$"Ин 1284"$"Ин. 1284"
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 341"$"In 1283"$"Fond 68, Nr. 341"$"Fonds 68. Nr. 341"$"Фонд 68, № 341"$"Фонд 68, ед. хр. 341"$"Фонд 68, N 341"$"Ин 1283"$"Ин. 1283"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 342"$"In 1280"$"Fond 68, Nr. 342"$"Fonds 68. Nr. 342"$"Фонд 68, № 342"$"Фонд 68, ед. хр. 342"$"Фонд 68, N 342"$"Ин 1280"$"Ин. 1280"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 343.1"$"In 1361"$"Fond 68, Nr. 343.1"$"Fonds 68. Nr. 343.1"$"Фонд 68, № 343.1"$"Фонд 68, ед. хр. 343.1"$"Фонд 68, N 343.1"$"Ин 1361"$"Ин. 1361"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 343.2"$"In 1361"$"Fond 68, Nr. 343.2"$"Fonds 68. Nr. 343.2"$"Фонд 68, № 343.2"$"Фонд 68, ед. хр. 343.2"$"Фонд 68, N 343.2"$"Ин 1361"$"Ин. 1361"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 344"$"In 1281"$"Fond 68, Nr. 344"$"Fonds 68. Nr. 344"$"Фонд 68, № 344"$"Фонд 68, ед. хр. 344"$"Фонд 68, N 344"$"Ин 1281"$"Ин. 1281"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 348"$"Fond 68, Nr. 348"$"Fonds 68. Nr. 348"$"Фонд 68, № 348"$"Фонд 68, ед. хр. 348"$"Фонд 68, N 348"			
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 354"$"In 1359"$"Fond 68, Nr. 354"$"Fonds 68. Nr. 354"$"Фонд 68, № 354"$"Фонд 68, ед. хр. 354"$"Фонд 68, N 354"$"Ин 1359"$"Ин. 1359"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 396"$"In 1326"$"Fond 68, Nr. 396"$"Fonds 68. Nr. 396"$"Фонд 68, № 396"$"Фонд 68, ед. хр. 396"$"Фонд 68, N 396"$"Ин 1326"$"Ин. 1326"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 417"$"In 1373"$"Fond 68, Nr. 417"$"Fonds 68. Nr. 417"$"Фонд 68, № 417"$"Фонд 68, ед. хр. 417"$"Фонд 68, N 417"$"Ин 1373"$"Ин. 1373"	
"Moskau"$"4074987-3"$"Russische Staatsbibliothek"$"2125990-2"$"Fonds 68, Nr. 420"$"In 1217"$"Fond 68, Nr. 420"$"Fonds 68. Nr. 420"$"Фонд 68, № 420"$"Фонд 68, ед. хр. 420"$"Фонд 68, N 420"$"Ин 1217"$"Ин. 1217"	
