"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5933"$"Codex germanicus monacensis  5933"$"Cod.germ.mon. 5933"$"Cod. germ. monac. 5933"$"cgm 5933"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5934"$"Codex germanicus monacensis  5934"$"Cod.germ.mon. 5934"$"Cod. germ. monac. 5934"$"cgm 5934"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5935"$"Codex germanicus monacensis  5935"$"Cod.germ.mon. 5935"$"Cod. germ. monac. 5935"$"cgm 5935"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5936"$"Codex germanicus monacensis  5936"$"Cod.germ.mon. 5936"$"Cod. germ. monac. 5936"$"cgm 5936"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5937"$"Codex germanicus monacensis  5937"$"Cod.germ.mon. 5937"$"Cod. germ. monac. 5937"$"cgm 5937"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5938(1"$"Codex germanicus monacensis  5938(1"$"Cod.germ.mon. 5938(1"$"Cod. germ. monac. 5938(1"$"Cgm 5938-1"$"Cgm 5938, 1"$"Cgm 5938/1"$"Cgm 5938(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5938(2"$"Codex germanicus monacensis  5938(2"$"Cod.germ.mon. 5938(2"$"Cod. germ. monac. 5938(2"$"Cgm 5938-2"$"Cgm 5938, 2"$"Cgm 5938/2"$"Cgm 5938(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5939"$"Codex germanicus monacensis  5939"$"Cod.germ.mon. 5939"$"Cod. germ. monac. 5939"$"cgm 5939"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 594"$"Codex germanicus monacensis  594"$"Cod.germ.mon. 594"$"Cod. germ. monac. 594"$"cgm 594"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5940"$"Codex germanicus monacensis  5940"$"Cod.germ.mon. 5940"$"Cod. germ. monac. 5940"$"cgm 5940"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5941"$"Codex germanicus monacensis  5941"$"Cod.germ.mon. 5941"$"Cod. germ. monac. 5941"$"cgm 5941"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5942"$"Codex germanicus monacensis  5942"$"Cod.germ.mon. 5942"$"Cod. germ. monac. 5942"$"cgm 5942"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5943"$"Codex germanicus monacensis  5943"$"Cod.germ.mon. 5943"$"Cod. germ. monac. 5943"$"cgm 5943"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5944"$"Codex germanicus monacensis  5944"$"Cod.germ.mon. 5944"$"Cod. germ. monac. 5944"$"cgm 5944"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5945"$"Codex germanicus monacensis  5945"$"Cod.germ.mon. 5945"$"Cod. germ. monac. 5945"$"cgm 5945"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5946"$"Codex germanicus monacensis  5946"$"Cod.germ.mon. 5946"$"Cod. germ. monac. 5946"$"cgm 5946"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5947"$"Codex germanicus monacensis  5947"$"Cod.germ.mon. 5947"$"Cod. germ. monac. 5947"$"cgm 5947"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5948(1"$"Codex germanicus monacensis  5948(1"$"Cod.germ.mon. 5948(1"$"Cod. germ. monac. 5948(1"$"Cgm 5948-1"$"Cgm 5948, 1"$"Cgm 5948/1"$"Cgm 5948(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5948(2"$"Codex germanicus monacensis  5948(2"$"Cod.germ.mon. 5948(2"$"Cod. germ. monac. 5948(2"$"Cgm 5948-2"$"Cgm 5948, 2"$"Cgm 5948/2"$"Cgm 5948(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5949"$"Codex germanicus monacensis  5949"$"Cod.germ.mon. 5949"$"Cod. germ. monac. 5949"$"cgm 5949"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 595"$"Codex germanicus monacensis  595"$"Cod.germ.mon. 595"$"Cod. germ. monac. 595"$"cgm 595"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5950"$"Codex germanicus monacensis  5950"$"Cod.germ.mon. 5950"$"Cod. germ. monac. 5950"$"cgm 5950"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5951"$"Codex germanicus monacensis  5951"$"Cod.germ.mon. 5951"$"Cod. germ. monac. 5951"$"cgm 5951"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5952"$"Codex germanicus monacensis  5952"$"Cod.germ.mon. 5952"$"Cod. germ. monac. 5952"$"cgm 5952"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5953"$"Codex germanicus monacensis  5953"$"Cod.germ.mon. 5953"$"Cod. germ. monac. 5953"$"cgm 5953"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5954"$"Codex germanicus monacensis  5954"$"Cod.germ.mon. 5954"$"Cod. germ. monac. 5954"$"cgm 5954"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5955"$"Codex germanicus monacensis  5955"$"Cod.germ.mon. 5955"$"Cod. germ. monac. 5955"$"cgm 5955"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5956"$"Codex germanicus monacensis  5956"$"Cod.germ.mon. 5956"$"Cod. germ. monac. 5956"$"cgm 5956"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5957"$"Codex germanicus monacensis  5957"$"Cod.germ.mon. 5957"$"Cod. germ. monac. 5957"$"cgm 5957"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5958"$"Codex germanicus monacensis  5958"$"Cod.germ.mon. 5958"$"Cod. germ. monac. 5958"$"cgm 5958"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5959"$"Codex germanicus monacensis  5959"$"Cod.germ.mon. 5959"$"Cod. germ. monac. 5959"$"cgm 5959"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 596"$"Codex germanicus monacensis  596"$"Cod.germ.mon. 596"$"Cod. germ. monac. 596"$"cgm 596"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5960"$"Codex germanicus monacensis  5960"$"Cod.germ.mon. 5960"$"Cod. germ. monac. 5960"$"cgm 5960"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5961"$"Codex germanicus monacensis  5961"$"Cod.germ.mon. 5961"$"Cod. germ. monac. 5961"$"cgm 5961"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5962"$"Codex germanicus monacensis  5962"$"Cod.germ.mon. 5962"$"Cod. germ. monac. 5962"$"cgm 5962"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5963"$"Codex germanicus monacensis  5963"$"Cod.germ.mon. 5963"$"Cod. germ. monac. 5963"$"cgm 5963"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5964"$"Codex germanicus monacensis  5964"$"Cod.germ.mon. 5964"$"Cod. germ. monac. 5964"$"cgm 5964"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5965"$"Codex germanicus monacensis  5965"$"Cod.germ.mon. 5965"$"Cod. germ. monac. 5965"$"cgm 5965"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(1"$"Codex germanicus monacensis  5966(1"$"Cod.germ.mon. 5966(1"$"Cod. germ. monac. 5966(1"$"Cgm 5966-1"$"Cgm 5966, 1"$"Cgm 5966/1"$"Cgm 5966(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(10"$"Codex germanicus monacensis  5966(10"$"Cod.germ.mon. 5966(10"$"Cod. germ. monac. 5966(10"$"Cgm 5966-10"$"Cgm 5966, 10"$"Cgm 5966/10"$"Cgm 5966(X"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(11"$"Codex germanicus monacensis  5966(11"$"Cod.germ.mon. 5966(11"$"Cod. germ. monac. 5966(11"$"Cgm 5966-11"$"Cgm 5966, 11"$"Cgm 5966/11"$"Cgm 5966(XI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(12"$"Codex germanicus monacensis  5966(12"$"Cod.germ.mon. 5966(12"$"Cod. germ. monac. 5966(12"$"Cgm 5966-12"$"Cgm 5966, 12"$"Cgm 5966/12"$"Cgm 5966(XII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(13"$"Codex germanicus monacensis  5966(13"$"Cod.germ.mon. 5966(13"$"Cod. germ. monac. 5966(13"$"Cgm 5966-13"$"Cgm 5966, 13"$"Cgm 5966/13"$"Cgm 5966(XIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(14"$"Codex germanicus monacensis  5966(14"$"Cod.germ.mon. 5966(14"$"Cod. germ. monac. 5966(14"$"Cgm 5966-14"$"Cgm 5966, 14"$"Cgm 5966/14"$"Cgm 5966(XIV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(15"$"Codex germanicus monacensis  5966(15"$"Cod.germ.mon. 5966(15"$"Cod. germ. monac. 5966(15"$"Cgm 5966-15"$"Cgm 5966, 15"$"Cgm 5966/15"$"Cgm 5966(XV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(16"$"Codex germanicus monacensis  5966(16"$"Cod.germ.mon. 5966(16"$"Cod. germ. monac. 5966(16"$"Cgm 5966-16"$"Cgm 5966, 16"$"Cgm 5966/16"$"Cgm 5966(XVI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(17"$"Codex germanicus monacensis  5966(17"$"Cod.germ.mon. 5966(17"$"Cod. germ. monac. 5966(17"$"Cgm 5966-17"$"Cgm 5966, 17"$"Cgm 5966/17"$"Cgm 5966(XVII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5966(2"$"Codex germanicus monacensis  5966(2"$"Cod.germ.mon. 5966(2"$"Cod. germ. monac. 5966(2"$"Cgm 5966-2"$"Cgm 5966, 2"$"Cgm 5966/2"$"Cgm 5966(II"
