"1"$"Cbm Cat. 1"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00087510/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00087510-0"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00087510_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2014"$"2022"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"2"$"Cbm Cat. 103(1"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092082/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092082-0"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092082_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2014"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"3"$"Cbm Cat. 103(2"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092083/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092083-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092083_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"4"$"Cbm Cat. 104"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092084/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092084-1"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092084_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2014"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"5"$"Cbm Cat. 105"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092085/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092085-6"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092085_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"6"$"Cbm Cat. 106"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092094/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092094-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092094_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"7"$"Cbm Cat. 107"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092086/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092086-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092086_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"8"$"Cbm Cat. 107 a"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092087/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092087-7"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092087_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"9"$"Cbm Cat. 108"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092088/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092088-3"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092088_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2023"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"10"$"Cbm Cat. 109"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00092089/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00092089-2"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00092089_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2021"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
"11"$"Cbm Cat. 11"$"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00095225/manifest"$"https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00095225-0"$"https://api.digitale-sammlungen.de/iiif/image/v2/bsb00095225_00003/full/280,/0/default.jpg"$"Komplett"$"Original"$"Standard"$"Einzelseite"$"2015"$"2022"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"$"Bayerische Staatsbibliothek"$"https://d-nb.info/gnd/2031351-2"$"München"$"https://d-nb.info/gnd/4127793-4"
