"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.9an"$"1 an: I. t. f. 9"$"1 an I. t. f. 9"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.92an"$"1 an: I. t. f. 92"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.170an"$"1 an: I. t. f. 170"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.225an"$"1 an: I. t. f. 225"$"1 an: 1.t. f. 225"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.374an"$"1 an: I. t. f. 374"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.534an"$"1 an: I. t. f. 534"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.610an"$"1 an: I. t. f. 610"$"1 u. 2 an: I. t. f. 610"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.616an"$"1 an: I. t. f. 616"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.679an"$"1 an: I. t. f. 679"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.748an"$"1 an: I. t. f. 748"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CXLIVan"$"1 an: I. t. f. CXLIV"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.XCIIIan"$"1 an: I. t. f. XCIII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.120an"$"1 an: I. t. q. 120"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.610an.2"$"2 an: I. t. f. 610"$"1 u. 2 an: I. t. f. 610"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.693an.2"$"2 an: I. t. f. 693"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.805an.2"$"2 an: I. t. f. 805"$"2 an: 1.1. f. 805"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CCCXVIan.2"$"2 an: I. t. f. CCCXVI"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CCLXXIVan.2"$"2 an: I. t. f. CCLXXIV"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.XIIIan.2"$"2 an: I. t. f. XIII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.18an.2"$"2 an: I. t. q. 18"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.64an.2"$"2 an: I. t. q. 64"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Inc.f.68an.2"$"2 an: Inc. f. 68"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.615an.3"$"3 an: I. t. f. 615"$"3 an: I.t. f. 615"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CCCIan.3"$"3 an: I. t. f. CCCI"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.6an.3"$"3 an: I. t. q. 6"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.30an.3"$"3 an: I. t. q. 30"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.Lan.3"$"3 an: I. t. q. L"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.49an.3"$"4 an: I. t. f. 49"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f66an.3"$"4 an: I. t. f. 66"$"4 an: 1.t. f. 66"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.201an.4"$"4 an: I. t. f. 201"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.716an.4"$"4 an: I. t. f. 716"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.892an.4"$"4 an: I. t. f. 892"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.o.2an.5"$"5 an: I. t. o. 2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.97an.5"$"5 an: I. t. q. 97"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.110an.5"$"5 an: I. t. q. 110"$"5 an: l. t. q. 110"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.234an.7"$"7 an: I. t. f. 234"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.XXXXVIan.7"$"7 an: I. t. q."$"7 an: I. t. q. XXXXVI"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.9an.7"$"7 an: I. t. q. 9"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Inc.q.28an.7"$"7 an: Inc. q. 28"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.VIIIan.8"$"8 an: I. t. q. VIII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.225an.9"$"9 an: I. t. q. 225"$"9a an: I. t. q.225"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.119an.10"$"10 an: I. t. q. 119"$"10 an: 1.t. q. 119"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.XXXIXan.33"$"33 an: I. t. q. XXXIX"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CCLXIXan"$"An: I. t. f. CCLXIX"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CLXXIIIan"$"An: I. t. f. CLXXIII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.o.29an"$"An: I. t. o. 29"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.22an"$"An: I. t. q. 22"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.209an"$"An: I. t. q. 209"$"an: I. t. q. 209"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.236an"$"An: I. t. q. 236"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.265an"$"An: I. t. q. 265"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.299an"$"An: I. t. q. 299"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.q.398an"$"An: I. t. q. 398"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Inc.f.39an"$"An: Inc. f. 39"$"an: Inc. f. 39"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Inc.f.119an.2"$"An: Inc. f. 119"$"Inc.f.119angeb.2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,3-1"$"Arch. d. UB I, 3/1"$"Arch. d. UB I,3/1"$"Arch.UBI,3-1"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,3-2"$"Arch. d. UB I,3/2"$"2"$"Arch. d. UB I, 3/1. 2"$"Arch.UBI,3-2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,5-1"$"Arch. d. UB I,5/1"$"Arch. d. UB I, 5/1-4"$"Arch.UBI,5-1"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,5-2"$"Arch. d. UB I,5/2"$"Arch. d. UB I, 5/1-4"$"Arch.UBI,5-2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,5-3"$"Arch. d. UB I,5/3"$"Arch. d. UB I, 5/1-4"$"Arch.UBI,5-3"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,5-4"$"Arch. d. UB I,5/4"$"Arch. d. UB I, 5/1-4"$"Arch.UBI,5-4"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,1 "$"Arch. d. UB I, 1"$"Arch. d. UB I,1"$"Arch.UBI,1 "
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,2"$"Arch. d. UB I, 2"$"Arch. d. UB I,2"$"Arch.UBI,2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,4"$"Arch. d. UB I, 4"$"Arch. d. UB I,4"$"Arch.UBI,4"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,6-1"$"Arch. d. UB I, 6/1"$"Archiv der UB I, 6/ 1"$"Arch. d. UB I, 6/1. 2"$"Arch.UBI,6-1"$"Archiv der UB I, 6/ 1. 2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,6-2"$"Arch. d. UB I, 6/2"$"Archiv der UB I, 6/ 2"$"Arch. d. UB I, 6/1. 2"$"Arch.UBI,6-2"$"Archiv der UB I, 6/ 1. 2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-1"$"Arch. d. UB I, 8, 1"$"Arch. UB I, 8, 1"$"Arch.UBI,8-1"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-2"$"Arch. d. UB I, 8, 2"$"Arch. UB I, 8, 2"$"Arch.UBI,8-2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-3"$"Arch. d. UB I, 8, 3"$"Arch. UB I, 8, 3"$"Arch.UBI,8-3"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-4"$"Arch. d. UB I, 8, 4"$"Arch. UB I, 8, 4"$"Arch.UBI,8-4"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-5"$"Arch. d. UB I, 8, 5"$"Arch. UB I, 8, 5"$"Arch.UBI,8-5"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-6"$"Arch. d. UB I, 8, 6"$"Arch. UB I, 8, 6"$"Arch.UBI,8-6"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-7"$"Arch. d. UB I, 8, 7"$"Arch. UB I, 8, 7"$"Arch.UBI,8-7"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-8"$"Arch. d. UB I, 8, 8"$"Arch. UB I, 8, 8"$"Arch.UBI,8-8"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-9"$"Arch. d. UB I, 8, 9"$"Arch. UB I, 8, 9"$"Arch.UBI,8-9"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-10"$"Arch. d. UB I, 8, 10"$"Arch. UB I, 8, 10"$"Arch.UBI,8-10"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,8-11"$"Arch. d. UB I, 8, 11"$"Arch. UB I, 8, 11"$"Arch.UBI,8-11"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,18"$"Arch. d. UB I, 18"$"Arch. d. UB I,18"$"Arch.UBI,18"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,27-1"$"Arch. d. UB I, 27/1. 2"$"Arch. d. UB I,27/1"$"Arch.UBI,27-1"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,27-2"$"Arch. d. UB I, 27/2"$"Arch. d. UB I,27/2"$"Arch. d. UB I, 27/1. 2"$"Arch.UBI,27-2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Arch. UB I,28"$"Arch. d. UB I, 28"$"Arch. d. UB I,28"$"Arch.UBI,28"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Delin.V"$"Delin. 5"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Dt.Fragm.2"$"Dt. Fragm. 2"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Dt.Fragm.3"$"Dt. Fragm. 3"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Dt.Fragm.4"$"Dt. Fragm. 4"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"Dt.Fragm.5"$"Dt. Fragm. 5"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.94"$"I. t. f. 94"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.481a"$"I. t. f. 481a"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.600"$"I. t. f. 600"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.615"$"I. t. f. 615"$"I.t. f. 615"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.679"$"I. t. f. 679"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.897"$"I. t. f. 897"$"1.t. f. 897"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.959"$"I. t. f. 959"$"I.t. f. 959"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CCCXII"$"I. t. f. CCCXII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CLXVIII"$"I. t. f. CLXVIII"$"1.t. f. CLXVIII"
"Würzburg"$"4067037-5"$"Universitätsbibliothek Würzburg"$"2025026-5"$"I.t.f.CXXVII"$"I. t. f. CXXVII"
