"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Frgm. CL a+b"$"Fragment CL a + b"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. 65"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, 6"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IV, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IV, 2"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IV, 3"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IV, 6"$"44"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IV, 8"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IX, 2"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IX, 3"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, IX, 4"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, V, 10"$"[Mus.] 95"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, VI, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, VI, 2"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, VII, 25"$"25"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XI, 36"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XII, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XII, 2"$"D 119"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XII, 3"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XII, 4"$"E 17"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XII, 5"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIII, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIII, 24"$"45"$"24"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIII, 25"$"46"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIII, 37"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIV, 37"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIV, 38"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XIV, 39"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XV, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XV, 2"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XV, 3"$"270"$"9"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. I, XV, 4"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. II, VIII, 28"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. IV, 1"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. IV, 3"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. IX"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. V, 3-6"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VII, 8"$"P (?) V"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VII, 9"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VII, 10"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VII, 13"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VIII"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VIII, VI, 22"$"163 (?)"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VIII, VI, 23"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. VIII, VI, 32"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, 147"$"XVII"$"309 Preh."
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, II, 7"$"16"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, II, 8"$"17"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, II, 9"$"18"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, II, 10"$"19"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, IV, 1"$"45"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X, IV, 3"$"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. X,IV,3"$"47"
"Zwickau"$"4068262-6"$"Ratsschulbibliothek Zwickau"$"2062960-6"$"Ms. XI"
